17/11/2021 13:33:36,Tensao: 119.84V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:33:42,Tensao: 118.23V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:33:47,Tensao: 119.78V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:33:52,Tensao: 120.98V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:33:58,Tensao: 122.53V, Corrente (S1): 0.25A, Corrente (S2): 0.00A, Potencia: 31.05W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:03,Tensao: 118.70V, Corrente (S1): 0.00A, Corrente (S2): 4.47A, Potencia: 530.87W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:09,Tensao: 112.26V, Corrente (S1): 0.00A, Corrente (S2): 9.27A, Potencia: 1040.78W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:14,Tensao: 113.20V, Corrente (S1): 0.00A, Corrente (S2): 9.14A, Potencia: 1034.52W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:19,Tensao: 112.50V, Corrente (S1): 0.00A, Corrente (S2): 9.07A, Potencia: 1019.92W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:25,Tensao: 119.33V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:30,Tensao: 121.06V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:35,Tensao: 119.69V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:41,Tensao: 121.01V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:46,Tensao: 119.50V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:52,Tensao: 119.06V, Corrente (S1): 4.38A, Corrente (S2): 0.00A, Potencia: 521.90W, Consumo (acumulado): 0.01kWh
17/11/2021 13:34:57,Tensao: 113.51V, Corrente (S1): 9.50A, Corrente (S2): 0.00A, Potencia: 1078.39W, Consumo (acumulado): 0.01kWh
17/11/2021 13:35:03,Tensao: 120.86V, Corrente (S1): 0.20A, Corrente (S2): 0.00A, Potencia: 24.62W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:08,Tensao: 119.10V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:13,Tensao: 117.70V, Corrente (S1): 4.51A, Corrente (S2): 0.00A, Potencia: 530.70W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:18,Tensao: 115.35V, Corrente (S1): 9.17A, Corrente (S2): 0.00A, Potencia: 1057.65W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:24,Tensao: 120.03V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:30,Tensao: 120.66V, Corrente (S1): 0.26A, Corrente (S2): 0.00A, Potencia: 31.62W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:35,Tensao: 120.44V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:40,Tensao: 120.96V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:46,Tensao: 120.60V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:51,Tensao: 119.79V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:35:56,Tensao: 122.27V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:02,Tensao: 119.54V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:07,Tensao: 116.38V, Corrente (S1): 9.58A, Corrente (S2): 0.00A, Potencia: 1115.15W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:13,Tensao: 112.81V, Corrente (S1): 9.03A, Corrente (S2): 0.00A, Potencia: 1019.09W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:18,Tensao: 119.37V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:23,Tensao: 119.66V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:29,Tensao: 120.54V, Corrente (S1): 0.00A, Corrente (S2): 0.20A, Potencia: 24.40W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:34,Tensao: 120.09V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:40,Tensao: 116.15V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:45,Tensao: 119.61V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:50,Tensao: 121.38V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:36:56,Tensao: 121.28V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:02,Tensao: 119.89V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:07,Tensao: 119.66V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:12,Tensao: 120.45V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:18,Tensao: 119.67V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:23,Tensao: 119.92V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:29,Tensao: 120.55V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:34,Tensao: 120.34V, Corrente (S1): 0.25A, Corrente (S2): 0.00A, Potencia: 29.56W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:40,Tensao: 120.15V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:45,Tensao: 124.70V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:50,Tensao: 121.44V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:37:56,Tensao: 120.30V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:01,Tensao: 121.77V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:07,Tensao: 119.58V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:12,Tensao: 120.80V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:18,Tensao: 120.22V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:23,Tensao: 119.28V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:28,Tensao: 119.58V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:34,Tensao: 120.90V, Corrente (S1): 0.21A, Corrente (S2): 0.00A, Potencia: 25.29W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:39,Tensao: 119.76V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:44,Tensao: 120.07V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:50,Tensao: 120.13V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:38:55,Tensao: 121.71V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:01,Tensao: 120.86V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:06,Tensao: 1.23V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:12,Tensao: 11.41V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:18,Tensao: 1.62V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:23,Tensao: 0.98V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:28,Tensao: 0.87V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:48,Tensao: 233.76V, Corrente (S1): 4.40A, Corrente (S2): 4.43A, Potencia: 2062.52W, Consumo (acumulado): 0.02kWh
17/11/2021 13:39:53,Tensao: 107.80V, Corrente (S1): 0.45A, Corrente (S2): 0.44A, Potencia: 95.30W, Consumo (acumulado): 0.03kWh
17/11/2021 13:39:59,Tensao: 56.59V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:05,Tensao: 25.97V, Corrente (S1): 0.72A, Corrente (S2): 0.72A, Potencia: 37.55W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:10,Tensao: 17.18V, Corrente (S1): 0.29A, Corrente (S2): 0.00A, Potencia: 5.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:15,Tensao: 7.40V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:21,Tensao: 5.38V, Corrente (S1): 0.21A, Corrente (S2): 0.00A, Potencia: 1.11W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:27,Tensao: 1.78V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:32,Tensao: 1.56V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:38,Tensao: 1.39V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:43,Tensao: 3.37V, Corrente (S1): 0.27A, Corrente (S2): 0.00A, Potencia: 0.91W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:49,Tensao: 18.07V, Corrente (S1): 0.64A, Corrente (S2): 0.82A, Potencia: 26.51W, Consumo (acumulado): 0.03kWh
17/11/2021 13:40:55,Tensao: 7.43V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:00,Tensao: 2.12V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:06,Tensao: 5.80V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:12,Tensao: 6.69V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:17,Tensao: 7.17V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
